ID, Label, Mean 0, Mean 1, Aff 0, Aff 1, Eff 0, Eff 1
0,' ',2.2924944183154596,0.1068383774631192,1.285868816463299,0.9923007807901144,0.3727234326580412,0.6508255313972481
1,' ',2.0502719239176717,3.5604769500644897,0.6123991892569963,0.7031191021063331,0.8329455704153104,0.6092858725529232
2,' ',0.5303757370403446,3.1531456560477586,0.6373484165868732,0.6758348880629219,0.252383556860754,0.11799724958609469
3,' ',2.981818995721803,0.18735176904380157,1.3244693998754198,0.5561561071163638,0.2825352141128794,0.2583397265836809
4,' ',0.9872889975132813,3.9089183496209157,0.7533808187848028,0.5777612278315117,0.6729533144984656,0.05175896564119786
5,' ',3.1981800684951254,3.7837815648284816,1.105848925506514,1.1564649576402255,0.5398288046175149,0.13502954171816697
6,' ',2.630143952944291,2.096534220797116,1.4058619191182822,1.241903621881546,0.6535938373090486,0.8463454906964057
7,' ',3.1517927436615407,0.5941907367346682,0.7413987546062673,1.4884011714966592,0.5344736046731132,0.2257277448198587
8,' ',1.7706951450337045,0.30611460229355547,0.5396997002608599,0.5507429836754095,0.5579431300047033,0.0724789244724417
9,' ',2.746776658099468,2.054147369701043,1.1586550407014289,0.8172789584717097,0.7449108572928155,0.6587924545773951
10,' ',0.3388218938841536,0.05793756528557603,1.2586590674052767,0.8309069903702363,0.35870919369455745,0.08209844666095217
11,' ',2.4266174437433228,2.170640763134128,0.850208348998582,0.5274555854437407,0.9771786674124404,0.4610261906359872
12,' ',3.412888121918831,0.13917155244380197,1.405978498386581,0.6937629202671428,0.23775301023581147,0.8941745176008359
13,' ',0.0659977482098304,2.845865874921228,1.009127893322085,0.8583979746743093,0.6174988188274806,0.9542658664067099
14,' ',2.5632051568963363,1.1559434576988177,1.1708574935591631,1.4239299839845159,0.4238294974136928,0.43787633606739884
15,' ',3.679727243017353,3.7120653193466495,1.2458762533085883,0.5743552992928972,0.49656913683925735,0.2941350136480452
16,' ',0.07717451366032035,0.2809293981682406,1.2961822814776995,1.3350283877566864,0.6851160039267289,0.9869948932304847
17,' ',3.9463331121471934,2.6489448202572707,1.3442474486299274,1.2915041587703837,0.7822676611144578,0.7751379069923322
18,' ',0.06382745591586003,3.427811345755499,1.2661198108164187,1.4789413565397744,0.30418738508404464,0.18235672609385406
19,' ',2.788751044615169,3.8687897062354146,1.247514272778922,1.3324951012654072,0.3543057514114208,0.06386023280643428
20,' ',2.7544616489722227,3.1918348736120983,1.3977971949600554,0.7533108705703112,0.397314382044198,0.5740680592291147
21,' ',0.1940247982649037,2.3599234570003746,0.668028972435408,1.1087411157241038,0.3287102416641282,0.7909859481569195
22,' ',3.198420040726412,3.337098008427283,1.0386567843599739,1.380327613812136,0.5712641476699575,0.6931096254309909
23,' ',3.361881922113486,3.7135929082602046,0.9017205119202111,0.63558456469659,0.0825047636017889,0.42361791577494706
24,' ',0.7577253253259939,0.7073401764716585,1.4944937570209684,0.733665151158871,0.5344192864951842,0.13238407385447798
25,' ',2.548530818767117,3.5238337848888777,0.8229485560000603,0.8683648135143825,0.3140733903830938,0.8430641495583044
26,' ',3.996284424293212,1.3662625839139042,0.9204468065293243,0.7608617766901489,0.5391845920733076,0.956617688367858
27,' ',1.8974327303346663,1.1692378950455349,1.07529957160519,0.9240131162208673,0.7137415904635538,0.9520899480030589
28,' ',2.0467092289858497,0.0035023456980884937,1.2243601199998617,1.117976375823303,0.24057838985626379,0.5248850180244395
29,' ',0.6292163005852518,0.8113623009789706,0.9297694723458602,1.0324605984622934,0.3243626667987342,0.3946779877408113
